mouse,dia_nm,conc_part_ml,label
JIMT1_Irr_no_Ici,51.2,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,54.5,74284080,2010 F7+8 120
JIMT1_Irr_no_Ici,55.8,209028563,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,57.8,321897682,2010 F7+8 120
JIMT1_Irr_no_Ici,59.4,368873935,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,61.1,767602164,2010 F7+8 120
JIMT1_Irr_no_Ici,63.0,934480635,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,64.4,1436158887,2010 F7+8 120
JIMT1_Irr_no_Ici,66.6,1254171378,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,67.7,1349494127,2010 F7+8 120
JIMT1_Irr_no_Ici,70.2,1610749515,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,71.0,1646630448,2010 F7+8 120
JIMT1_Irr_no_Ici,73.8,1364833559,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,74.3,1411397527,2010 F7+8 120
JIMT1_Irr_no_Ici,77.4,1512383133,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,77.6,1275210046,2010 F7+8 120
JIMT1_Irr_no_Ici,80.9,903789644,2010 F7+8 120
JIMT1_Irr_no_Ici,81.0,1032847017,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,84.2,755221484,2010 F7+8 120
JIMT1_Irr_no_Ici,84.6,971368028,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,87.5,532369243,2010 F7+8 120
JIMT1_Irr_no_Ici,88.2,688564678,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,90.8,383801082,2010 F7+8 120
JIMT1_Irr_no_Ici,91.8,577902498,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,94.1,346659042,2010 F7+8 120
JIMT1_Irr_no_Ici,95.4,368873935,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,97.4,272374961,2010 F7+8 120
JIMT1_Irr_no_Ici,99.0,319690743,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,100.7,173329521,2010 F7+8 120
JIMT1_Irr_no_Ici,102.6,258211754,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,104.0,123806801,2010 F7+8 120
JIMT1_Irr_no_Ici,106.2,258211754,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,107.3,111426121,2010 F7+8 120
JIMT1_Irr_no_Ici,109.8,122957978,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,110.6,136187481,2010 F7+8 120
JIMT1_Irr_no_Ici,113.4,86070585,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,113.9,61903400,2010 F7+8 120
JIMT1_Irr_no_Ici,117.0,73774787,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,117.2,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,120.5,49522720,2010 F7+8 120
JIMT1_Irr_no_Ici,120.6,49183191,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,123.8,37142040,2010 F7+8 120
JIMT1_Irr_no_Ici,124.2,73774787,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,127.1,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,127.8,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,130.4,49522720,2010 F7+8 120
JIMT1_Irr_no_Ici,131.4,49183191,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,133.7,37142040,2010 F7+8 120
JIMT1_Irr_no_Ici,135.0,36887393,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,137.0,24761360,2010 F7+8 120
JIMT1_Irr_no_Ici,138.6,73774787,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,140.3,24761360,2010 F7+8 120
JIMT1_Irr_no_Ici,142.2,24591596,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,143.6,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,145.8,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,146.9,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,149.4,24591596,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,150.2,0,2010 F7+8 120
JIMT1_Irr_no_Ici,153.0,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,153.5,0,2010 F7+8 120
JIMT1_Irr_no_Ici,156.6,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,156.8,0,2010 F7+8 120
JIMT1_Irr_no_Ici,160.1,0,2010 F7+8 120
JIMT1_Irr_no_Ici,160.2,36887393,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,163.4,24761360,2010 F7+8 120
JIMT1_Irr_no_Ici,163.8,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,166.7,0,2010 F7+8 120
JIMT1_Irr_no_Ici,167.4,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,170.0,0,2010 F7+8 120
JIMT1_Irr_no_Ici,171.0,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,173.3,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,174.6,24591596,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,176.6,0,2010 F7+8 120
JIMT1_Irr_no_Ici,178.2,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,179.9,24761360,2010 F7+8 120
JIMT1_Irr_no_Ici,181.8,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,183.2,0,2010 F7+8 120
JIMT1_Irr_no_Ici,185.4,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,186.5,0,2010 F7+8 120
JIMT1_Irr_no_Ici,189.0,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,189.8,0,2010 F7+8 120
JIMT1_Irr_no_Ici,192.6,36887393,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,193.1,0,2010 F7+8 120
JIMT1_Irr_no_Ici,196.2,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,196.4,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,199.7,24761360,2010 F7+8 120
JIMT1_Irr_no_Ici,199.8,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,203.0,24761360,2010 F7+8 120
JIMT1_Irr_no_Ici,203.4,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,206.3,0,2010 F7+8 120
JIMT1_Irr_no_Ici,207.0,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,209.6,0,2010 F7+8 120
JIMT1_Irr_no_Ici,210.6,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,212.9,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,214.2,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,216.2,0,2010 F7+8 120
JIMT1_Irr_no_Ici,217.8,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,219.5,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,221.4,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,222.8,0,2010 F7+8 120
JIMT1_Irr_no_Ici,225.0,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,226.1,0,2010 F7+8 120
JIMT1_Irr_no_Ici,228.6,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,229.4,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,232.2,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,232.7,0,2010 F7+8 120
JIMT1_Irr_no_Ici,235.8,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,236.0,0,2010 F7+8 120
JIMT1_Irr_no_Ici,239.3,0,2010 F7+8 120
JIMT1_Irr_no_Ici,239.4,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,242.6,0,2010 F7+8 120
JIMT1_Irr_no_Ici,243.0,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,245.9,0,2010 F7+8 120
JIMT1_Irr_no_Ici,246.6,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,249.2,0,2010 F7+8 120
JIMT1_Irr_no_Ici,250.2,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,252.5,0,2010 F7+8 120
JIMT1_Irr_no_Ici,253.8,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,255.8,0,2010 F7+8 120
JIMT1_Irr_no_Ici,257.4,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,259.1,0,2010 F7+8 120
JIMT1_Irr_no_Ici,261.0,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,262.4,0,2010 F7+8 120
JIMT1_Irr_no_Ici,264.6,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,265.7,0,2010 F7+8 120
JIMT1_Irr_no_Ici,268.2,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,269.0,0,2010 F7+8 120
JIMT1_Irr_no_Ici,271.8,0,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,272.3,0,2010 F7+8 120
JIMT1_Irr_no_Ici,275.4,12295798,2010 F7+8 120 9bar
JIMT1_Irr_no_Ici,275.6,12380680,2010 F7+8 120
JIMT1_Irr_no_Ici,278.9,0,2010 F7+8 120
JIMT1_Irr_no_Ici,282.2,0,2010 F7+8 120
JIMT1_Irr_no_Ici,285.5,0,2010 F7+8 120
JIMT1_Irr_no_Ici,288.8,0,2010 F7+8 120
JIMT1_Irr_no_Ici,292.1,12380680,2010 F7+8 120
JIMT1_Irr_Ici,51.2,596179444,2011 F7+8 6bar 120
JIMT1_Irr_Ici,51.2,84336768,2011 9bar F7+8 120
JIMT1_Irr_Ici,54.3,596179444,2011 F7+8 6bar 120
JIMT1_Irr_Ici,54.5,674694147,2011 9bar F7+8 120
JIMT1_Irr_Ici,57.4,2469886266,2011 F7+8 6bar 120
JIMT1_Irr_Ici,57.8,2108419209,2011 9bar F7+8 120
JIMT1_Irr_Ici,60.5,5961794435,2011 F7+8 6bar 120
JIMT1_Irr_Ici,61.1,4638522261,2011 9bar F7+8 120
JIMT1_Irr_Ici,63.6,7750332766,2011 F7+8 6bar 120
JIMT1_Irr_Ici,64.4,7337298849,2011 9bar F7+8 120
JIMT1_Irr_Ici,66.7,8772354669,2011 F7+8 6bar 120
JIMT1_Irr_Ici,67.7,9192707753,2011 9bar F7+8 120
JIMT1_Irr_Ici,69.8,10475724508,2011 F7+8 6bar 120
JIMT1_Irr_Ici,71.0,9951738669,2011 9bar F7+8 120
JIMT1_Irr_Ici,72.9,11071903951,2011 F7+8 6bar 120
JIMT1_Irr_Ici,74.3,10204748974,2011 9bar F7+8 120
JIMT1_Irr_Ici,76.0,8772354669,2011 F7+8 6bar 120
JIMT1_Irr_Ici,77.6,8686687143,2011 9bar F7+8 120
JIMT1_Irr_Ici,79.1,6302468403,2011 F7+8 6bar 120
JIMT1_Irr_Ici,80.9,7590309154,2011 9bar F7+8 120
JIMT1_Irr_Ici,82.2,5195278008,2011 F7+8 6bar 120
JIMT1_Irr_Ici,84.2,6072247323,2011 9bar F7+8 120
JIMT1_Irr_Ici,85.3,3321571185,2011 F7+8 6bar 120
JIMT1_Irr_Ici,87.5,4469848724,2011 9bar F7+8 120
JIMT1_Irr_Ici,88.4,2895728726,2011 F7+8 6bar 120
JIMT1_Irr_Ici,90.8,3626481040,2011 9bar F7+8 120
JIMT1_Irr_Ici,91.5,2469886266,2011 F7+8 6bar 120
JIMT1_Irr_Ici,94.1,2108419209,2011 9bar F7+8 120
JIMT1_Irr_Ici,94.6,1958875314,2011 F7+8 6bar 120
JIMT1_Irr_Ici,97.4,2024082441,2011 9bar F7+8 120
JIMT1_Irr_Ici,97.7,1618201347,2011 F7+8 6bar 120
JIMT1_Irr_Ici,100.7,1349388294,2011 9bar F7+8 120
JIMT1_Irr_Ici,100.8,1533032855,2011 F7+8 6bar 120
JIMT1_Irr_Ici,103.9,1022021903,2011 F7+8 6bar 120
JIMT1_Irr_Ici,104.0,927704452,2011 9bar F7+8 120
JIMT1_Irr_Ici,107.0,511010952,2011 F7+8 6bar 120
JIMT1_Irr_Ici,107.3,1012041221,2011 9bar F7+8 120
JIMT1_Irr_Ici,110.1,681347935,2011 F7+8 6bar 120
JIMT1_Irr_Ici,110.6,590357379,2011 9bar F7+8 120
JIMT1_Irr_Ici,113.2,851684919,2011 F7+8 6bar 120
JIMT1_Irr_Ici,113.9,590357379,2011 9bar F7+8 120
JIMT1_Irr_Ici,116.3,340673968,2011 F7+8 6bar 120
JIMT1_Irr_Ici,117.2,590357379,2011 9bar F7+8 120
JIMT1_Irr_Ici,119.4,170336984,2011 F7+8 6bar 120
JIMT1_Irr_Ici,120.5,337347074,2011 9bar F7+8 120
JIMT1_Irr_Ici,122.5,170336984,2011 F7+8 6bar 120
JIMT1_Irr_Ici,123.8,168673537,2011 9bar F7+8 120
JIMT1_Irr_Ici,125.6,0,2011 F7+8 6bar 120
JIMT1_Irr_Ici,127.1,337347074,2011 9bar F7+8 120
JIMT1_Irr_Ici,128.7,85168492,2011 F7+8 6bar 120
JIMT1_Irr_Ici,130.4,168673537,2011 9bar F7+8 120
JIMT1_Irr_Ici,131.8,85168492,2011 F7+8 6bar 120
JIMT1_Irr_Ici,133.7,84336768,2011 9bar F7+8 120
JIMT1_Irr_Ici,134.9,85168492,2011 F7+8 6bar 120
JIMT1_Irr_Ici,137.0,337347074,2011 9bar F7+8 120
JIMT1_Irr_Ici,138.0,0,2011 F7+8 6bar 120
JIMT1_Irr_Ici,140.3,168673537,2011 9bar F7+8 120
JIMT1_Irr_Ici,141.1,0,2011 F7+8 6bar 120
JIMT1_Irr_Ici,143.6,0,2011 9bar F7+8 120
JIMT1_Irr_Ici,144.2,0,2011 F7+8 6bar 120
